Caller Type,Caller Type Words,Caller Tag,Caller Tag Words,Caller Method,Caller Method Words,Caller Super Types,Calling Super Types Words,Called  Type,Called Type Words,Called  Tagged Type,Called Tagged Type Words,Called Method,Called Method Words
comp533.server.ServerGIPC,server,@DistributedTags.SERVER+@DistributedTags.SERVER_REMOTE_OBJECT+@DistributedTags.SERVER_CONFIGURER+@DistributedTags.RMI+@DistributedTags.GIPC,distributed:tags:server:distributed:tags:server:remote:object:distributed:tags:server:distributed:tags:rmi:distributed:tags,init,none,@DistributedTags.SERVER_REMOTE_OBJECT+@DistributedTags.SERVER_CONFIGURER+@DistributedTags.RMI:AStandAloneTwoCoupledHalloweenSimulations:AnAbstractSimulationParametersBean:@@DistributedTags.SERVER_REMOTE_INTERFACE+@DistributedTags.GIPC+@DistributedTags.SERVER_REMOTE_INTERFACE+@DistributedTags.GIPC:@@DistributedTags.SERVER_REMOTE_INTERFACE+@DistributedTags.RMI+@DistributedTags.SERVER_REMOTE_INTERFACE+@DistributedTags.RMI:Remote:Serializable,distributed:tags:server:remote:object:distributed:tags:server:distributed:tags:rmi:a:stand:alone:coupled:halloween:simulations:an:abstract:simulation:parameters:bean:distributed:tags:server:remote:interface:distributed:tags:distributed:tags:server:remote:interface:distributed:tags:distributed:tags:server:remote:interface:distributed:tags:rmi:distributed:tags:server:remote:interface:distributed:tags:rmi:remote,$comp533.server.ServerGIPC,server,@DistributedTags.SERVER+@DistributedTags.SERVER_REMOTE_OBJECT+@DistributedTags.SERVER_CONFIGURER+@DistributedTags.RMI+@DistributedTags.GIPC,distributed:tags:server:distributed:tags:server:remote:object:distributed:tags:server:distributed:tags:rmi:distributed:tags,createRegistry,create:registry
comp533.server.ServerGIPC,server,@DistributedTags.SERVER+@DistributedTags.SERVER_REMOTE_OBJECT+@DistributedTags.SERVER_CONFIGURER+@DistributedTags.RMI+@DistributedTags.GIPC,distributed:tags:server:distributed:tags:server:remote:object:distributed:tags:server:distributed:tags:rmi:distributed:tags,init,none,@DistributedTags.SERVER_REMOTE_OBJECT+@DistributedTags.SERVER_CONFIGURER+@DistributedTags.RMI:AStandAloneTwoCoupledHalloweenSimulations:AnAbstractSimulationParametersBean:@@DistributedTags.SERVER_REMOTE_INTERFACE+@DistributedTags.GIPC+@DistributedTags.SERVER_REMOTE_INTERFACE+@DistributedTags.GIPC:@@DistributedTags.SERVER_REMOTE_INTERFACE+@DistributedTags.RMI+@DistributedTags.SERVER_REMOTE_INTERFACE+@DistributedTags.RMI:Remote:Serializable,distributed:tags:server:remote:object:distributed:tags:server:distributed:tags:rmi:a:stand:alone:coupled:halloween:simulations:an:abstract:simulation:parameters:bean:distributed:tags:server:remote:interface:distributed:tags:distributed:tags:server:remote:interface:distributed:tags:distributed:tags:server:remote:interface:distributed:tags:rmi:distributed:tags:server:remote:interface:distributed:tags:rmi:remote,$comp533.server.ServerGIPC,server,@DistributedTags.SERVER+@DistributedTags.SERVER_REMOTE_OBJECT+@DistributedTags.SERVER_CONFIGURER+@DistributedTags.RMI+@DistributedTags.GIPC,distributed:tags:server:distributed:tags:server:remote:object:distributed:tags:server:distributed:tags:rmi:distributed:tags,registerServer,register:server
comp533.server.ServerGIPC,server,@DistributedTags.SERVER+@DistributedTags.SERVER_REMOTE_OBJECT+@DistributedTags.SERVER_CONFIGURER+@DistributedTags.RMI+@DistributedTags.GIPC,distributed:tags:server:distributed:tags:server:remote:object:distributed:tags:server:distributed:tags:rmi:distributed:tags,init,none,@DistributedTags.SERVER_REMOTE_OBJECT+@DistributedTags.SERVER_CONFIGURER+@DistributedTags.RMI:AStandAloneTwoCoupledHalloweenSimulations:AnAbstractSimulationParametersBean:@@DistributedTags.SERVER_REMOTE_INTERFACE+@DistributedTags.GIPC+@DistributedTags.SERVER_REMOTE_INTERFACE+@DistributedTags.GIPC:@@DistributedTags.SERVER_REMOTE_INTERFACE+@DistributedTags.RMI+@DistributedTags.SERVER_REMOTE_INTERFACE+@DistributedTags.RMI:Remote:Serializable,distributed:tags:server:remote:object:distributed:tags:server:distributed:tags:rmi:a:stand:alone:coupled:halloween:simulations:an:abstract:simulation:parameters:bean:distributed:tags:server:remote:interface:distributed:tags:distributed:tags:server:remote:interface:distributed:tags:distributed:tags:server:remote:interface:distributed:tags:rmi:distributed:tags:server:remote:interface:distributed:tags:rmi:remote,inputport.rpc.GIPCRegistry,registry,inputport.rpc.GIPCRegistry,registry,getInputPort,get:input:port
comp533.server.ServerGIPC,server,@DistributedTags.SERVER+@DistributedTags.SERVER_REMOTE_OBJECT+@DistributedTags.SERVER_CONFIGURER+@DistributedTags.RMI+@DistributedTags.GIPC,distributed:tags:server:distributed:tags:server:remote:object:distributed:tags:server:distributed:tags:rmi:distributed:tags,init,none,@DistributedTags.SERVER_REMOTE_OBJECT+@DistributedTags.SERVER_CONFIGURER+@DistributedTags.RMI:AStandAloneTwoCoupledHalloweenSimulations:AnAbstractSimulationParametersBean:@@DistributedTags.SERVER_REMOTE_INTERFACE+@DistributedTags.GIPC+@DistributedTags.SERVER_REMOTE_INTERFACE+@DistributedTags.GIPC:@@DistributedTags.SERVER_REMOTE_INTERFACE+@DistributedTags.RMI+@DistributedTags.SERVER_REMOTE_INTERFACE+@DistributedTags.RMI:Remote:Serializable,distributed:tags:server:remote:object:distributed:tags:server:distributed:tags:rmi:a:stand:alone:coupled:halloween:simulations:an:abstract:simulation:parameters:bean:distributed:tags:server:remote:interface:distributed:tags:distributed:tags:server:remote:interface:distributed:tags:distributed:tags:server:remote:interface:distributed:tags:rmi:distributed:tags:server:remote:interface:distributed:tags:rmi:remote,port.ATracingConnectionListener,a:tracing:connection:listener,port.ATracingConnectionListener,a:tracing:connection:listener,ATracingConnectionListener,a:tracing:connection:listener
comp533.server.ServerGIPC,server,@DistributedTags.SERVER+@DistributedTags.SERVER_REMOTE_OBJECT+@DistributedTags.SERVER_CONFIGURER+@DistributedTags.RMI+@DistributedTags.GIPC,distributed:tags:server:distributed:tags:server:remote:object:distributed:tags:server:distributed:tags:rmi:distributed:tags,init,none,@DistributedTags.SERVER_REMOTE_OBJECT+@DistributedTags.SERVER_CONFIGURER+@DistributedTags.RMI:AStandAloneTwoCoupledHalloweenSimulations:AnAbstractSimulationParametersBean:@@DistributedTags.SERVER_REMOTE_INTERFACE+@DistributedTags.GIPC+@DistributedTags.SERVER_REMOTE_INTERFACE+@DistributedTags.GIPC:@@DistributedTags.SERVER_REMOTE_INTERFACE+@DistributedTags.RMI+@DistributedTags.SERVER_REMOTE_INTERFACE+@DistributedTags.RMI:Remote:Serializable,distributed:tags:server:remote:object:distributed:tags:server:distributed:tags:rmi:a:stand:alone:coupled:halloween:simulations:an:abstract:simulation:parameters:bean:distributed:tags:server:remote:interface:distributed:tags:distributed:tags:server:remote:interface:distributed:tags:distributed:tags:server:remote:interface:distributed:tags:rmi:distributed:tags:server:remote:interface:distributed:tags:rmi:remote,inputport.InputPort,input:port,inputport.InputPort,input:port,addConnectionListener,add:connection:listener
comp533.server.ServerGIPC,server,@DistributedTags.SERVER+@DistributedTags.SERVER_REMOTE_OBJECT+@DistributedTags.SERVER_CONFIGURER+@DistributedTags.RMI+@DistributedTags.GIPC,distributed:tags:server:distributed:tags:server:remote:object:distributed:tags:server:distributed:tags:rmi:distributed:tags,registerClientGIPC,register:client,@DistributedTags.SERVER_REMOTE_OBJECT+@DistributedTags.SERVER_CONFIGURER+@DistributedTags.RMI:AStandAloneTwoCoupledHalloweenSimulations:AnAbstractSimulationParametersBean:@@DistributedTags.SERVER_REMOTE_INTERFACE+@DistributedTags.GIPC+@DistributedTags.SERVER_REMOTE_INTERFACE+@DistributedTags.GIPC:@@DistributedTags.SERVER_REMOTE_INTERFACE+@DistributedTags.RMI+@DistributedTags.SERVER_REMOTE_INTERFACE+@DistributedTags.RMI:Remote:Serializable,distributed:tags:server:remote:object:distributed:tags:server:distributed:tags:rmi:a:stand:alone:coupled:halloween:simulations:an:abstract:simulation:parameters:bean:distributed:tags:server:remote:interface:distributed:tags:distributed:tags:server:remote:interface:distributed:tags:distributed:tags:server:remote:interface:distributed:tags:rmi:distributed:tags:server:remote:interface:distributed:tags:rmi:remote,java.util.List,list,java.util.List,list,add,add
comp533.server.ServerGIPC,server,@DistributedTags.SERVER+@DistributedTags.SERVER_REMOTE_OBJECT+@DistributedTags.SERVER_CONFIGURER+@DistributedTags.RMI+@DistributedTags.GIPC,distributed:tags:server:distributed:tags:server:remote:object:distributed:tags:server:distributed:tags:rmi:distributed:tags,registerClientGIPC,register:client,@DistributedTags.SERVER_REMOTE_OBJECT+@DistributedTags.SERVER_CONFIGURER+@DistributedTags.RMI:AStandAloneTwoCoupledHalloweenSimulations:AnAbstractSimulationParametersBean:@@DistributedTags.SERVER_REMOTE_INTERFACE+@DistributedTags.GIPC+@DistributedTags.SERVER_REMOTE_INTERFACE+@DistributedTags.GIPC:@@DistributedTags.SERVER_REMOTE_INTERFACE+@DistributedTags.RMI+@DistributedTags.SERVER_REMOTE_INTERFACE+@DistributedTags.RMI:Remote:Serializable,distributed:tags:server:remote:object:distributed:tags:server:distributed:tags:rmi:a:stand:alone:coupled:halloween:simulations:an:abstract:simulation:parameters:bean:distributed:tags:server:remote:interface:distributed:tags:distributed:tags:server:remote:interface:distributed:tags:distributed:tags:server:remote:interface:distributed:tags:rmi:distributed:tags:server:remote:interface:distributed:tags:rmi:remote,comp533.client.GIPCClient,client,@@DistributedTags.CLIENT_REMOTE_INTERFACE+@DistributedTags.GIPC+@DistributedTags.GIPC+@DistributedTags.CLIENT_REMOTE_INTERFACE,distributed:tags:client:remote:interface:distributed:tags:distributed:tags:distributed:tags:client:remote:interface,setId,set:id
comp533.server.ServerGIPC,server,@DistributedTags.SERVER+@DistributedTags.SERVER_REMOTE_OBJECT+@DistributedTags.SERVER_CONFIGURER+@DistributedTags.RMI+@DistributedTags.GIPC,distributed:tags:server:distributed:tags:server:remote:object:distributed:tags:server:distributed:tags:rmi:distributed:tags,registerClientGIPC,register:client,@DistributedTags.SERVER_REMOTE_OBJECT+@DistributedTags.SERVER_CONFIGURER+@DistributedTags.RMI:AStandAloneTwoCoupledHalloweenSimulations:AnAbstractSimulationParametersBean:@@DistributedTags.SERVER_REMOTE_INTERFACE+@DistributedTags.GIPC+@DistributedTags.SERVER_REMOTE_INTERFACE+@DistributedTags.GIPC:@@DistributedTags.SERVER_REMOTE_INTERFACE+@DistributedTags.RMI+@DistributedTags.SERVER_REMOTE_INTERFACE+@DistributedTags.RMI:Remote:Serializable,distributed:tags:server:remote:object:distributed:tags:server:distributed:tags:rmi:a:stand:alone:coupled:halloween:simulations:an:abstract:simulation:parameters:bean:distributed:tags:server:remote:interface:distributed:tags:distributed:tags:server:remote:interface:distributed:tags:distributed:tags:server:remote:interface:distributed:tags:rmi:distributed:tags:server:remote:interface:distributed:tags:rmi:remote,java.util.List,list,java.util.List,list,size,size
comp533.server.ServerGIPC,server,@DistributedTags.SERVER+@DistributedTags.SERVER_REMOTE_OBJECT+@DistributedTags.SERVER_CONFIGURER+@DistributedTags.RMI+@DistributedTags.GIPC,distributed:tags:server:distributed:tags:server:remote:object:distributed:tags:server:distributed:tags:rmi:distributed:tags,registerClientGIPC,register:client,@DistributedTags.SERVER_REMOTE_OBJECT+@DistributedTags.SERVER_CONFIGURER+@DistributedTags.RMI:AStandAloneTwoCoupledHalloweenSimulations:AnAbstractSimulationParametersBean:@@DistributedTags.SERVER_REMOTE_INTERFACE+@DistributedTags.GIPC+@DistributedTags.SERVER_REMOTE_INTERFACE+@DistributedTags.GIPC:@@DistributedTags.SERVER_REMOTE_INTERFACE+@DistributedTags.RMI+@DistributedTags.SERVER_REMOTE_INTERFACE+@DistributedTags.RMI:Remote:Serializable,distributed:tags:server:remote:object:distributed:tags:server:distributed:tags:rmi:a:stand:alone:coupled:halloween:simulations:an:abstract:simulation:parameters:bean:distributed:tags:server:remote:interface:distributed:tags:distributed:tags:server:remote:interface:distributed:tags:distributed:tags:server:remote:interface:distributed:tags:rmi:distributed:tags:server:remote:interface:distributed:tags:rmi:remote,java.io.PrintStream,print:stream,java.io.PrintStream,print:stream,println,none
comp533.server.ServerGIPC,server,@DistributedTags.SERVER+@DistributedTags.SERVER_REMOTE_OBJECT+@DistributedTags.SERVER_CONFIGURER+@DistributedTags.RMI+@DistributedTags.GIPC,distributed:tags:server:distributed:tags:server:remote:object:distributed:tags:server:distributed:tags:rmi:distributed:tags,registerClientGIPC,register:client,@DistributedTags.SERVER_REMOTE_OBJECT+@DistributedTags.SERVER_CONFIGURER+@DistributedTags.RMI:AStandAloneTwoCoupledHalloweenSimulations:AnAbstractSimulationParametersBean:@@DistributedTags.SERVER_REMOTE_INTERFACE+@DistributedTags.GIPC+@DistributedTags.SERVER_REMOTE_INTERFACE+@DistributedTags.GIPC:@@DistributedTags.SERVER_REMOTE_INTERFACE+@DistributedTags.RMI+@DistributedTags.SERVER_REMOTE_INTERFACE+@DistributedTags.RMI:Remote:Serializable,distributed:tags:server:remote:object:distributed:tags:server:distributed:tags:rmi:a:stand:alone:coupled:halloween:simulations:an:abstract:simulation:parameters:bean:distributed:tags:server:remote:interface:distributed:tags:distributed:tags:server:remote:interface:distributed:tags:distributed:tags:server:remote:interface:distributed:tags:rmi:distributed:tags:server:remote:interface:distributed:tags:rmi:remote,comp533.client.GIPCClient,client,@@DistributedTags.CLIENT_REMOTE_INTERFACE+@DistributedTags.GIPC+@DistributedTags.GIPC+@DistributedTags.CLIENT_REMOTE_INTERFACE,distributed:tags:client:remote:interface:distributed:tags:distributed:tags:distributed:tags:client:remote:interface,getId,get:id
